Open (Everyone)
---------
philcrissman 32
cartoloupe 25
kylerippey 17
joosushi 10
chrismohr 7
brownmike 4
sotoseattle 2
swindsor 2
roseaboveit23 1
ASKimZ 1
zenspider 0
kushali 0
lizrush 0
woahdae 0
Dodosan 0


Novice (Less than 1 year of coding)
---------
gakocher 17
owenkelly 8
DerekMaffett 2
theutahkate 0
deirdre 0
Elffers 0
